Linxia Hui Autonomous Prefecture,1,临夏回族自治州,0,location中文名能搜到 英文名搜索不到,11377,Linxia Hui Autonomous Prefecture 有 临夏回族自治州 没有的结果
Gannan Tibetan Autonomous Prefecture,1,甘南藏族自治州,0,location中文名能搜到 英文名搜索不到,11377,Gannan Tibetan Autonomous Prefecture 有 甘南藏族自治州 没有的结果
Aba Tibetan And Qiang Autonomous Prefecture,1,阿坝藏族羌族自治州,0,location中文名能搜到 英文名搜索不到,11566,Aba Tibetan And Qiang Autonomous Prefecture 有 阿坝藏族羌族自治州 没有的结果
Ganzi Tibetan Autonomous Prefecture,1,甘孜藏族自治州,0,location中文名能搜到 英文名搜索不到,11566,Ganzi Tibetan Autonomous Prefecture 有 甘孜藏族自治州 没有的结果
Liangshan Yi Autonomous Prefecture,1,凉山彝族自治州,0,location中文名能搜到 英文名搜索不到,11566,Liangshan Yi Autonomous Prefecture 有 凉山彝族自治州 没有的结果
Dehong Dai And Jingpo Autonomous Prefecture,2,德宏傣族景颇族自治州,0,location中文名能搜到 英文名搜索不到,11570，11569,Dehong Dai And Jingpo Autonomous Prefecture 有 德宏傣族景颇族自治州 没有的结果
Wenshan Zhuang And Miao Autonomous Prefecture,2,文山壮族苗族自治州,0,location中文名能搜到 英文名搜索不到,11570，11569,Wenshan Zhuang And Miao Autonomous Prefecture 有 文山壮族苗族自治州 没有的结果
Nujiang Yi Autonomous Prefecture,2,怒江傈僳族自治州,0,location中文名能搜到 英文名搜索不到,11570，11569,Nujiang Yi Autonomous Prefecture 有 怒江傈僳族自治州 没有的结果
Xishuangbanna Dai Autonomous Prefecture,2,西双版纳傣族自治州,0,location中文名能搜到 英文名搜索不到,11570，11569,Xishuangbanna Dai Autonomous Prefecture 有 西双版纳傣族自治州 没有的结果
Chuxiong Yi Autonomous Prefecture,2,楚雄彝族自治州,0,location中文名能搜到 英文名搜索不到,11570，11569,Chuxiong Yi Autonomous Prefecture 有 楚雄彝族自治州 没有的结果
Diqing Tibetan Autonomous Prefecture,2,迪庆藏族自治州,0,location中文名能搜到 英文名搜索不到,11570，11569,Diqing Tibetan Autonomous Prefecture 有 迪庆藏族自治州 没有的结果
Honghe Hani And Yi Autonomous Prefecture,2,红河哈尼族彝族自治州,0,location中文名能搜到 英文名搜索不到,11570，11569,Honghe Hani And Yi Autonomous Prefecture 有 红河哈尼族彝族自治州 没有的结果
Suzhou,3,苏州市,2,location中文名能搜到 英文名搜索不到,11822,Suzhou 有 苏州市 没有的结果
